DATE,VALUE
1992-05-11,1.103
1992-05-18,1.118
1992-05-25,1.117
1992-06-01,1.122
1992-06-08,1.137
1992-06-15,1.145
1992-06-22,1.141
1992-06-29,1.130
1992-07-06,1.122
1992-07-13,1.107
1992-07-20,1.093
1992-07-27,1.086
1992-08-03,1.085
1992-08-10,1.080
1992-08-17,1.068
1992-08-24,1.089
1992-08-31,1.091
1992-09-07,1.091
1992-09-14,1.101
1992-09-21,1.104
1992-09-28,1.097
1992-10-05,1.091
1992-10-12,1.093
1992-10-19,1.087
1992-10-26,1.088
1992-11-02,1.096
1992-11-09,1.093
1992-11-16,1.079
1992-11-23,1.069
1992-11-30,1.056
1992-12-07,1.043
1992-12-14,1.025
1992-12-21,1.025
1992-12-28,1.018
1993-01-04,1.014
1993-01-11,1.024
1993-01-18,1.020
1993-01-25,1.006
1993-02-01,1.012
1993-02-08,1.033
1993-02-15,1.019
1993-02-22,1.008
1993-03-01,1.003
1993-03-08,1.020
1993-03-15,1.039
1993-03-22,1.031
1993-03-29,1.036
1993-04-05,1.061
1993-04-12,1.077
1993-04-19,1.067
1993-04-26,1.078
1993-05-03,1.073
1993-05-10,1.091
1993-05-17,1.107
1993-05-24,1.103
1993-05-31,1.102
1993-06-07,1.095
1993-06-14,1.092
1993-06-21,1.077
1993-06-28,1.068
1993-07-05,1.063
1993-07-12,1.054
1993-07-19,1.045
1993-07-26,1.036
1993-08-02,1.028
1993-08-09,1.026
1993-08-16,1.025
1993-08-23,1.043
1993-08-30,1.040
1993-09-06,1.029
1993-09-13,1.020
1993-09-20,1.009
1993-09-27,1.016
1993-10-04,1.063
1993-10-11,1.065
1993-10-18,1.078
1993-10-25,1.074
1993-11-01,1.062
1993-11-08,1.051
1993-11-15,1.034
1993-11-22,1.026
1993-11-29,1.017
1993-12-06,0.994
1993-12-13,0.969
1993-12-20,0.948
1993-12-27,0.949
1994-01-03,0.939
1994-01-10,0.956
1994-01-17,0.974
1994-01-24,0.972
1994-01-31,0.989
1994-02-07,0.989
1994-02-14,1.001
1994-02-21,0.984
1994-02-28,0.975
1994-03-07,0.988
1994-03-14,0.981
1994-03-21,0.984
1994-03-28,0.992
1994-04-04,0.989
1994-04-11,1.019
1994-04-18,1.025
1994-04-25,1.029
1994-05-02,1.029
1994-05-09,1.036
1994-05-16,1.034
1994-05-23,1.045
1994-05-30,1.053
1994-06-06,1.059
1994-06-13,1.067
1994-06-20,1.075
1994-06-27,1.097
1994-07-04,1.095
1994-07-11,1.099
1994-07-18,1.109
1994-07-25,1.119
1994-08-01,1.140
1994-08-08,1.175
1994-08-15,1.172
1994-08-22,1.179
1994-08-29,1.164
1994-09-05,1.158
1994-09-12,1.145
1994-09-19,1.128
1994-09-26,1.110
1994-10-03,1.092
1994-10-10,1.087
1994-10-17,1.073
1994-10-24,1.072
1994-10-31,1.094
1994-11-07,1.092
1994-11-14,1.087
1994-11-21,1.072
1994-11-28,1.056
1994-12-05,1.044
1994-12-12,1.028
1994-12-19,1.019
1994-12-26,1.007
1995-01-02,1.010
1995-01-09,1.030
1995-01-16,1.015
1995-01-23,1.035
1995-01-30,1.035
1995-02-06,1.026
1995-02-13,1.023
1995-02-20,1.014
1995-02-27,1.033
1995-03-06,1.034
1995-03-13,1.025
1995-03-20,1.031
1995-03-27,1.048
1995-04-03,1.071
1995-04-10,1.089
1995-04-17,1.103
1995-04-24,1.125
1995-05-01,1.124
1995-05-08,1.154
1995-05-15,1.161
1995-05-22,1.187
1995-05-29,1.181
1995-06-05,1.180
1995-06-12,1.174
1995-06-19,1.162
1995-06-26,1.150
1995-07-03,1.140
1995-07-10,1.123
1995-07-17,1.107
1995-07-24,1.094
1995-07-31,1.080
1995-08-07,1.082
1995-08-14,1.081
1995-08-21,1.086
1995-08-28,1.076
1995-09-04,1.077
1995-09-11,1.074
1995-09-18,1.076
1995-09-25,1.078
1995-10-02,1.071
1995-10-09,1.057
1995-10-16,1.041
1995-10-23,1.033
1995-10-30,1.015
1995-11-06,1.021
1995-11-13,1.025
1995-11-20,1.021
1995-11-27,1.027
1995-12-04,1.033
1995-12-11,1.031
1995-12-18,1.066
1995-12-25,1.066
1996-01-01,1.068
1996-01-08,1.087
1996-01-15,1.085
1996-01-22,1.071
1996-01-29,1.059
1996-02-05,1.058
1996-02-12,1.057
1996-02-19,1.067
1996-02-26,1.107
1996-03-04,1.123
1996-03-11,1.114
1996-03-18,1.130
1996-03-25,1.166
1996-04-01,1.174
1996-04-08,1.197
1996-04-15,1.232
1996-04-22,1.222
1996-04-29,1.233
1996-05-06,1.224
1996-05-13,1.229
1996-05-20,1.247
1996-05-27,1.230
1996-06-03,1.220
1996-06-10,1.215
1996-06-17,1.211
1996-06-24,1.198
1996-07-01,1.183
1996-07-08,1.186
1996-07-15,1.189
1996-07-22,1.192
1996-07-29,1.178
1996-08-05,1.163
1996-08-12,1.159
1996-08-19,1.174
1996-08-26,1.183
1996-09-02,1.170
1996-09-09,1.186
1996-09-16,1.189
1996-09-23,1.191
1996-09-30,1.183
1996-10-07,1.170
1996-10-14,1.194
1996-10-21,1.191
1996-10-28,1.217
1996-11-04,1.228
1996-11-11,1.237
1996-11-18,1.247
1996-11-25,1.261
1996-12-02,1.256
1996-12-09,1.253
1996-12-16,1.235
1996-12-23,1.224
1996-12-30,1.217
1997-01-06,1.209
1997-01-13,1.239
1997-01-20,1.237
1997-01-27,1.230
1997-02-03,1.224
1997-02-10,1.211
1997-02-17,1.196
1997-02-24,1.196
1997-03-03,1.181
1997-03-10,1.165
1997-03-17,1.152
1997-03-24,1.168
1997-03-31,1.157
1997-04-07,1.155
1997-04-14,1.150
1997-04-21,1.158
1997-04-28,1.159
1997-05-05,1.158
1997-05-12,1.162
1997-05-19,1.193
1997-05-26,1.213
1997-06-02,1.215
1997-06-09,1.205
1997-06-16,1.191
1997-06-23,1.178
1997-06-30,1.164
1997-07-07,1.163
1997-07-14,1.157
1997-07-21,1.173
1997-07-28,1.161
